DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,EXPQNT,2020,874665100
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,EXPVAL,2020,174312368
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,IMPQNT,2020,473727568
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,IMPVAL,2020,75164094
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,PRODQNT,2020,1408369675
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,PRODVAL,2020,262673048
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,AT,16291500,QNTUNIT,2020,KG
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BA,16291500,PRODQNT,2020,200432261
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BA,16291500,PRODVAL,2020,28187296
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BA,16291500,QNTUNIT,2020,KG
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,EXPQNT,2020,663732960
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,EXPVAL,2020,108853476
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,IMPQNT,2020,1431955926
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,IMPVAL,2020,223882121
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,PQNTFLAG,2020,:C
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,PVALFLAG,2020,:C
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BE,16291500,QNTUNIT,2020,KG
ESTAT:DS-059358(1.0),28/07/26 11:00:00,A,BG,16291500,EXPQNT,2020,190455203
